temp,cp,time,Norm,RAWCP,First,Second,Third
12.13564,,100,-0.5831,-0.5831,,,
13.83688,,200,-21649.75951,-0.42958,,,
15.53673,77.90367,300,77.90367,-0.42838,8.5844E-6,1.15891E-4,-2.08669E-5
17.23732,45.81693,400,45.81693,-0.42949,8.5844E-6,1.15891E-4,-2.08669E-5
18.93619,40.00061,500,40.00061,-0.42813,2.40366E-4,7.41568E-5,-1.20207E-4
20.63514,30.93107,600,30.93107,-0.42408,1.56898E-4,-1.24523E-4,-1.6468E-5
22.3353,15.96953,700,15.96953,-0.41772,-8.68035E-6,4.12208E-5,1.23094E-4
24.03355,-10.93656,800,-10.93656,-0.4095,2.3934E-4,1.21666E-4,-1.42837E-4
25.73397,-2.55221,900,-2.55221,-0.39657,2.34651E-4,-2.44453E-4,-2.68056E-5
27.43146,-32.07253,1000,-32.07253,-0.38102,-2.49566E-4,6.80546E-5,4.57105E-4
29.13131,-75.1282,1100,-75.1282,-0.36827,3.7076E-4,6.69757E-4,1.08207E-4
30.8282,-45.18273,1200,-45.18273,-0.35414,0.00109,2.84468E-4,-4.59902E-4
32.52731,-19.12136,1300,-19.12136,-0.33703,9.39697E-4,-2.50046E-4,-3.01209E-4
34.22649,-7.91918,1400,-7.91918,-0.31797,5.89856E-4,-3.17949E-4,7.71882E-5
35.92535,-20.77464,1500,-20.77464,-0.29743,3.03798E-4,-9.56697E-5,2.34423E-4
37.62528,-42.13339,1600,-42.13339,-0.27584,3.98517E-4,1.50897E-4,2.06404E-4
39.32394,-49.16115,1700,-49.16115,-0.2534,6.05593E-4,3.17139E-4,2.66043E-4
41.02394,-53.3094,1800,-53.3094,-0.23063,0.00103,6.82982E-4,2.66158E-4
42.72199,-20.74553,1900,-20.74553,-0.20765,0.00197,8.49454E-4,-2.14899E-5
44.42059,66.57214,2000,66.57214,-0.18533,0.00273,6.40003E-4,-1.33406E-4
46.11705,172.97471,2100,172.97471,-0.16548,0.00325,5.82641E-4,-6.22829E-5
47.81652,310.18021,2200,310.18021,-0.14755,0.0039,5.15437E-4,-1.3032E-4
49.51672,479.31893,2300,479.31893,-0.13133,0.00428,3.22E-4,-2.09321E-4
51.21362,653.4686,2400,653.4686,-0.11651,0.00454,9.67954E-5,-2.47232E-5
52.91245,846.98162,2500,846.98162,-0.1025,0.00448,2.72554E-4,4.07326E-4
54.61099,1013.07175,2600,1013.07175,-0.08962,0.00509,9.11447E-4,4.34084E-4
56.31066,1266.8353,2700,1266.8353,-0.07563,0.0063,0.00114,3.53193E-4
58.00943,1554.2008,2800,1554.2008,-0.06207,0.00737,0.00162,5.55072E-5
59.70808,1914.98959,2900,1914.98959,-0.04685,0.00953,0.00125,-9.17177E-4
61.40555,2420.35896,3000,2420.35896,-0.03005,0.00987,-2.16521E-4,-0.00138
63.10228,2814.90083,3100,2814.90083,-0.01495,0.0091,-0.00151,-0.00161
64.80181,3242.6974,3200,3242.6974,-3.72E-4,0.00684,-0.00343,-0.0016
66.50037,3409.91239,3300,3409.91239,0.00946,0.00223,-0.00472,-7.6203E-4
68.20088,3373.46042,3400,3373.46042,0.01489,-0.00259,-0.00496,8.88992E-4
69.89999,3055.52906,3500,3055.52906,0.01447,-0.00768,-0.00294,0.00225
71.60164,2506.45499,3600,2506.45499,0.00914,-0.00846,-4.5589E-4,0.00124
73.30247,2111.15283,3700,2111.15283,0.00734,-0.0086,-4.50774E-4,0.00101
75.0017,1550.42819,3800,1550.42819,0.00206,-0.00937,0.00157,0.00155
76.70314,1079.32316,3900,1079.32316,-0.00132,-0.00545,0.00264,-4.96763E-4
78.40165,915.48699,4000,915.48699,-3.48E-4,-0.00408,5.8001E-4,-6.24688E-4
80.10213,584.57851,4100,584.57851,-2.01E-4,-0.00429,0.00139,6.13417E-4
81.80063,402.37545,4200,402.37545,0.00233,-0.0013,0.00181,-8.6206E-4
83.50043,376.0369,4300,376.0369,0.00495,-6.75079E-4,-3.31183E-4,-0.00107
85.20087,259.36943,4400,259.36943,0.00954,-0.00196,-3.31862E-4,9.62366E-4
86.90267,107.04471,4500,107.04471,0.01428,-0.00134,0.00159,6.54296E-4
88.60406,56.31186,4600,56.31186,0.0164,0.00123,9.76729E-4,-0.00136
90.30345,166.72991,4700,166.72991,0.02296,6.14655E-4,-0.00112,-6.45163E-4
92.00501,57.99223,4800,57.99223,0.02731,-0.00102,-3.13597E-4,0.00114
93.70231,7.88247,4900,7.88247,0.02952,-1.25399E-5,0.00116,6.67221E-7
95.40369,3.89849,5000,3.89849,0.03273,0.0013,-3.12263E-4,-9.27467E-4
97.10424,89.44086,5100,89.44086,0.03788,-6.37066E-4,-6.95021E-4,5.19314E-4
98.80395,-107.47371,5200,-107.47371,0.03795,-8.69229E-5,7.26366E-4,1.46822E-4
100.50676,35.53591,5300,35.53591,0.04133,8.15666E-4,-4.01377E-4,-1.05724E-4
102.20765,-68.92373,5400,-68.92373,0.04093,-8.89678E-4,5.14918E-4,4.7424E-4
103.90938,-96.77772,5500,-96.77772,0.04332,0.00185,5.47102E-4,-6.67703E-4
105.60984,75.06797,5600,75.06797,0.04676,2.04526E-4,-8.20488E-4,-6.83795E-4
107.31188,-117.84162,5700,-117.84162,0.0458,2.04526E-4,-8.20488E-4,-6.83795E-4
