temp,cp,time,Norm,RAWCP,First,Second,Third
12.28956,,100,-0.44213,-0.44213,,,
13.99116,,200,-12652.18575,-0.32945,,,
15.69047,-5.55016,300,-5.55016,-0.33142,1.48727E-4,7.0793E-6,-9.41102E-6
17.39137,-6.64168,400,-6.64168,-0.33443,1.48727E-4,7.0793E-6,-9.41102E-6
19.0908,8.10537,500,8.10537,-0.33478,1.62886E-4,-1.17427E-5,-2.79531E-5
20.79058,11.90033,600,11.90033,-0.33265,1.25241E-4,-4.88268E-5,-3.02293E-4
22.4905,29.23479,700,29.23479,-0.32747,6.52319E-5,-6.1633E-4,-1.61589E-4
24.18925,34.19417,800,34.19417,-0.3204,-0.00111,-3.72006E-4,5.61839E-4
25.89108,-35.22982,900,-35.22982,-0.3114,-6.7878E-4,5.07349E-4,3.46394E-4
27.58946,0.16679,1000,0.16679,-0.29583,-9.272E-5,3.20782E-4,3.48116E-5
29.28966,-32.79399,1100,-32.79399,-0.28423,-3.72163E-5,5.76972E-4,1.77364E-4
30.98707,-5.75481,1200,-5.75481,-0.27266,0.00106,6.7551E-4,-2.64138E-4
32.68721,31.21004,1300,31.21004,-0.25689,0.00131,4.86965E-5,-4.25728E-4
34.38686,63.55299,1400,63.55299,-0.23889,0.00116,-1.75945E-4,5.2243E-5
36.08711,75.54341,1500,75.54341,-0.21942,9.61914E-4,1.53183E-4,3.08048E-4
37.78728,80.82768,1600,80.82768,-0.19884,0.00146,4.40151E-4,9.06484E-6
39.48609,120.65413,1700,120.65413,-0.17695,0.00184,1.71312E-4,-1.44768E-4
41.18698,145.173,1800,145.173,-0.15526,0.00181,1.50615E-4,3.52745E-5
42.88548,173.74295,1900,173.74295,-0.13402,0.00214,2.41861E-4,-8.1746E-5
44.58517,216.58551,2000,216.58551,-0.115,0.00229,-1.28767E-5,1.40851E-4
46.28345,250.1352,2100,250.1352,-0.09874,0.00212,5.23562E-4,5.26677E-4
47.98311,274.36114,2200,274.36114,-0.08504,0.00334,0.00104,1.80571E-4
49.68299,397.45163,2300,397.45163,-0.07042,0.0042,8.84704E-4,1.5531E-4
51.38142,484.7225,2400,484.7225,-0.05752,0.00511,0.00135,4.66153E-4
53.08106,675.69942,2500,675.69942,-0.04274,0.0069,0.00182,3.10794E-4
54.77995,899.82159,2600,899.82159,-0.02748,0.00874,0.00197,1.77443E-4
56.48,1232.45148,2700,1232.45148,-0.00985,0.01085,0.00217,-3.86943E-4
58.17778,1619.60689,2800,1619.60689,0.00889,0.01309,0.0012,-0.00152
59.87655,2126.76309,2900,2126.76309,0.02974,0.01324,-8.60948E-4,-0.00207
61.57321,2529.6788,3000,2529.6788,0.04806,0.01136,-0.00295,-0.00217
63.27054,2897.16507,3100,2897.16507,0.06473,0.00734,-0.00521,-0.00205
64.97086,2996.85247,3200,2996.85247,0.07427,9.50055E-4,-0.00705,-0.00125
66.66918,2880.28269,3300,2880.28269,0.07716,-0.00677,-0.00771,0.00162
68.3693,2395.28734,3400,2395.28734,0.0716,-0.01447,-0.0038,0.00478
70.06808,1695.82689,3500,1695.82689,0.05979,-0.01438,0.00186,0.00326
71.76854,1228.60583,3600,1228.60583,0.05139,-0.01076,0.00272,1.15478E-4
73.46706,818.0342,3700,818.0342,0.04729,-0.00893,0.00209,-4.87971E-4
75.16648,503.69026,3800,503.69026,0.04452,-0.00659,0.00174,-1.11304E-4
76.86588,286.82092,3900,286.82092,0.04487,-0.00545,0.00186,2.42608E-4
78.5637,75.02493,4000,75.02493,0.04244,-0.00286,0.00223,-6.89738E-4
80.26402,71.57605,4100,71.57605,0.04765,-9.84954E-4,4.84709E-4,-8.20408E-4
81.96228,14.04616,4200,14.04616,0.05279,-0.00189,5.89243E-4,3.87269E-4
83.66393,-61.9635,4300,-61.9635,0.05251,1.93532E-4,0.00126,-2.32762E-4
85.36394,19.61741,4400,19.61741,0.06134,6.27053E-4,1.23719E-4,-1.79236E-4
87.06418,-60.57393,4500,-60.57393,0.06554,4.40969E-4,9.00775E-4,3.47691E-4
88.76562,-44.34907,4600,-44.34907,0.07258,0.00243,8.191E-4,-2.6451E-4
90.46621,-32.96815,4700,-32.96815,0.07921,0.00208,3.71756E-4,1.37353E-4
92.16841,-108.76384,4800,-108.76384,0.08432,0.00317,0.00109,-4.71917E-6
93.86657,-76.03629,4900,-76.03629,0.0945,0.00427,3.62318E-4,5.67849E-4
95.56832,-118.98614,5000,-118.98614,0.10112,0.0039,0.00223,9.38477E-4
97.26903,-142.49139,5100,-142.49139,0.10878,0.00873,0.00224,-0.00248
98.97092,195.35046,5200,195.35046,0.12293,0.00838,-0.00273,-0.00314
100.67321,205.59281,5300,205.59281,0.13023,0.00326,-0.00404,-9.98217E-4
102.37435,258.22204,5400,258.22204,0.13478,3.01349E-4,-0.00473,3.91719E-4
104.07805,172.30015,5500,172.30015,0.13294,-0.0062,-0.00325,0.00236
105.77986,-150.91081,5600,-150.91081,0.12601,-0.00621,-1.59192E-6,0.00163
107.48479,-145.24734,5700,-145.24734,0.12609,-0.00621,-1.59192E-6,0.00163
