temp,cp,time,Norm,RAWCP,First,Second,Third
11.47958,,100,-0.76687,-0.76687,,,
13.176,,200,-36744.33409,-0.30513,,,
14.87653,-60.2616,300,-60.2616,-0.29214,-0.00112,5.09755E-4,1.71808E-5
16.57673,-141.68916,400,-141.68916,-0.29647,-0.00112,5.09755E-4,1.71808E-5
18.27786,-78.62891,500,-78.62891,-0.29872,-9.72985E-5,5.44117E-4,-3.30074E-4
19.97607,22.79784,600,22.79784,-0.29782,-2.85751E-5,-1.50393E-4,-3.36452E-4
21.67654,51.3301,700,51.3301,-0.29443,-3.98085E-4,-1.28787E-4,6.30085E-5
23.37646,27.85277,800,27.85277,-0.28892,-2.86149E-4,-2.43765E-5,3.50757E-5
25.07623,59.33882,900,59.33882,-0.27987,-4.46838E-4,-5.86352E-5,2.04957E-4
26.77484,-19.34705,1000,-19.34705,-0.26707,-4.03419E-4,3.85537E-4,3.5965E-4
28.47395,9.16997,1100,9.16997,-0.2537,3.24236E-4,6.60665E-4,-3.47272E-5
30.17348,93.15301,1200,93.15301,-0.24281,9.17911E-4,3.16083E-4,-2.96895E-4
31.87019,252.79026,1300,252.79026,-0.22834,9.56401E-4,6.68746E-5,-6.30936E-5
33.57017,334.68396,1400,334.68396,-0.21227,0.00105,1.89895E-4,-7.04939E-5
35.26911,506.31703,1500,506.31703,-0.19349,0.00134,-7.41132E-5,-2.64947E-4
36.97066,646.16423,1600,646.16423,-0.17264,9.03434E-4,-3.39999E-4,2.39224E-5
38.67068,703.40168,1700,703.40168,-0.15249,6.56193E-4,-2.62684E-5,1.41669E-4
40.37169,773.9356,1800,773.9356,-0.13139,8.50897E-4,-5.66622E-5,-9.22141E-5
42.07049,868.72457,1900,868.72457,-0.1112,5.42869E-4,-2.10697E-4,-3.81201E-6
43.76866,856.16285,2000,856.16285,-0.09207,4.29504E-4,-6.42862E-5,2.03612E-4
45.4687,915.08979,2100,915.08979,-0.07445,4.14296E-4,1.96528E-4,2.96445E-4
47.16835,890.70173,2200,890.70173,-0.06003,8.2256E-4,5.28604E-4,6.72398E-5
48.86836,1040.21615,2300,1040.21615,-0.04674,0.00147,3.31008E-4,-4.0675E-4
50.56717,1164.80817,2400,1164.80817,-0.03597,0.00148,-2.84896E-4,-7.04433E-5
52.2668,1310.54995,2500,1310.54995,-0.02547,9.01713E-4,1.90121E-4,9.17292E-4
53.96553,1288.24361,2600,1288.24361,-0.01672,0.00186,0.00155,5.67585E-4
55.66462,1659.83721,2700,1659.83721,-0.00554,0.004,0.00133,-0.00103
57.36431,2146.2915,2800,2146.2915,0.0059,0.00452,-5.07854E-4,-0.00128
59.06335,2636.44052,2900,2636.44052,0.01598,0.00299,-0.00124,-2.16869E-4
60.76284,2749.49553,3000,2749.49553,0.02429,0.00204,-9.41591E-4,-5.36762E-5
62.45752,3007.99591,3100,3007.99591,0.03282,0.0011,-0.00134,1.54172E-4
64.15816,2890.65746,3200,2890.65746,0.03735,-6.46884E-4,-6.33247E-4,5.17667E-4
65.85695,2724.0551,3300,2724.0551,0.04343,-1.64292E-4,-3.08914E-4,-4.57517E-4
67.5562,2719.69867,3400,2719.69867,0.04818,-0.00126,-0.00155,-3.054E-4
69.25574,2285.14353,3500,2285.14353,0.05028,-0.00326,-9.19715E-4,0.00141
70.95445,1797.5609,3600,1797.5609,0.05167,-0.0031,0.00127,8.27237E-4
72.65578,1398.58567,3700,1398.58567,0.05426,-7.1561E-4,7.34758E-4,-0.00138
74.35519,1484.55013,3800,1484.55013,0.06069,-0.00163,-0.00148,3.63508E-5
76.05593,862.97742,3900,862.97742,0.05987,-0.00367,8.0746E-4,0.00173
77.75498,457.76028,4000,457.76028,0.06354,-1.97056E-5,0.00198,-6.35136E-4
79.45559,714.97889,4100,714.97889,0.06942,2.82363E-4,-4.62812E-4,-0.0012
81.1553,382.41426,4200,382.41426,0.07255,-9.45329E-4,-4.17761E-4,1.6171E-4
82.85546,344.30377,4300,344.30377,0.07764,-5.5316E-4,-1.39392E-4,4.09451E-4
84.55718,106.84377,4400,106.84377,0.08022,-0.00122,4.0114E-4,5.45525E-4
86.2575,-91.72608,4500,-91.72608,0.08605,2.4912E-4,9.51659E-4,2.31119E-4
87.95911,28.05438,4600,28.05438,0.09255,6.79204E-4,8.63379E-4,-5.97619E-4
89.65781,-59.10683,4700,-59.10683,0.09507,0.00198,-2.43579E-4,-0.00135
91.36011,389.65362,4800,389.65362,0.10362,1.92047E-4,-0.00184,4.41321E-4
93.05941,-102.88789,4900,-102.88789,0.10648,-0.00169,6.39062E-4,0.00174
94.75878,-91.41114,5000,-91.41114,0.10873,0.00147,0.00164,-9.47954E-4
96.46013,175.52112,5100,175.52112,0.11288,0.00158,-0.00126,-0.00149
98.15934,194.20994,5200,194.20994,0.11805,-0.00104,-0.00135,0.00126
99.86244,-208.60802,5300,-208.60802,0.11635,-0.00113,0.00126,0.00165
101.56376,-285.0281,5400,-285.0281,0.11842,0.00147,0.00194,-3.09353E-4
103.26482,-168.78586,5500,-168.78586,0.12392,0.00275,6.38601E-4,-6.50397E-4
104.96667,-55.64196,5600,-55.64196,0.12686,0.00275,6.38601E-4,-6.50397E-4
106.66942,--,5700,--,0.12867,,,
108.3717,--,5800,--,0.13042,,,
