temp,cp,time,Norm,RAWCP,First,Second,Third
12.1891,,100,-0.47927,-0.47927,,,
13.88953,,200,-17154.30632,-0.34056,,,
15.589,16.83828,300,16.83828,-0.34107,5.14E-05,2.62E-04,6.72E-05
17.2902,-11.16164,400,-11.16164,-0.34366,5.14E-05,2.62E-04,6.72E-05
18.98918,-12.91576,500,-12.91576,-0.34349,5.75E-04,3.96E-04,-1.03E-04
20.68909,-0.50304,600,-0.50304,-0.34008,8.44E-04,5.55E-05,-1.97E-04
22.38988,12.36559,700,12.36559,-0.33381,6.86E-04,2.11E-06,5.39E-05
24.09042,0.17483,800,0.17483,-0.32544,8.48E-04,1.63E-04,-1.71E-04
25.7913,21.74735,900,21.74735,-0.31268,0.00101,-3.41E-04,-1.23E-05
27.491,14.65598,1000,14.65598,-0.2967,1.67E-04,1.39E-04,8.74E-04
29.19249,-72.29114,1100,-72.29114,-0.28434,0.00129,0.00141,1.91E-04
30.89008,-7.64907,1200,-7.64907,-0.27046,0.00298,5.21E-04,-0.00108
32.5898,31.98643,1300,31.98643,-0.25306,0.00233,-7.44E-04,-5.52E-04
34.28927,5.86568,1400,5.86568,-0.23476,0.00149,-5.83E-04,5.19E-04
35.98893,-49.15325,1500,-49.15325,-0.21502,0.00117,2.94E-04,0.00212
37.68933,-111.55566,1600,-111.55566,-0.19372,0.00208,0.00365,0.00518
39.38884,-73.25836,1700,-73.25836,-0.17028,0.00848,0.01066,0.00305
41.09043,514.75164,1800,514.75164,-0.13677,0.0234,0.00975,-0.00966
42.78854,2067.84846,1900,2067.84846,-0.08485,0.02797,-0.00865,-0.01526
44.48872,3131.32533,2000,3131.32533,-0.04646,0.0061,-0.02078,-4.80E-04
46.18824,2501.46453,2100,2501.46453,-0.04376,-0.01358,-0.00961,0.01162
47.88839,1606.94979,2200,1606.94979,-0.04862,-0.01312,0.00247,0.00637
49.5893,1053.10153,2300,1053.10153,-0.04947,-0.00864,0.00313,-3.12E-04
51.28907,644.32063,2400,644.32063,-0.04843,-0.00687,0.00185,-6.19E-04
52.99206,308.11444,2500,308.11444,-0.04639,-0.00495,0.00189,-1.76E-04
54.69202,136.8196,2600,136.8196,-0.04234,-0.00309,0.0015,-6.06E-04
56.39312,36.16645,2700,36.16645,-0.03734,-0.00196,6.76E-04,-8.72E-04
58.09226,30.49565,2800,30.49565,-0.03241,-0.00174,-2.48E-04,-2.21E-04
59.79147,-7.02303,2900,-7.02303,-0.0277,-0.00246,2.34E-04,8.29E-04
61.48838,-71.71138,3000,-71.71138,-0.0234,-0.00127,0.00141,5.69E-05
63.18524,-10.96403,3100,-10.96403,-0.01798,3.62E-04,3.48E-04,-0.00122
64.88617,57.09434,3200,57.09434,-0.01248,-5.78E-04,-0.00103,-6.05E-05
66.58622,0.40171,3300,0.40171,-0.00842,-0.0017,2.27E-04,0.00139
68.28932,-66.81637,3400,-66.81637,-0.00279,-1.24E-04,0.00174,-1.80E-04
69.98893,0.21035,3500,0.21035,0.00182,0.00179,-1.32E-04,-0.0015
71.68998,94.87591,3600,94.87591,0.0077,-3.88E-04,-0.00126,6.49E-04
73.38945,-70.15742,3700,-70.15742,0.01196,-7.34E-04,0.00117,9.47E-04
75.08826,-25.0472,3800,-25.0472,0.01846,0.00194,6.32E-04,-8.07E-04
76.78892,57.3163,3900,57.3163,0.02442,5.30E-04,-4.49E-04,-1.48E-04
78.48808,-50.95301,4000,-50.95301,0.02838,0.00105,3.36E-04,-1.51E-04
80.18945,81.16721,4100,81.16721,0.03609,0.0012,-7.50E-04,-8.22E-05
81.88936,-9.62637,4200,-9.62637,0.04273,-4.55E-04,1.72E-04,7.34E-04
83.59011,-50.70171,4300,-50.70171,0.04452,0.00155,7.17E-04,1.86E-04
85.2901,31.27858,4400,31.27858,0.05373,9.79E-04,5.44E-04,2.81E-04
86.99189,-107.68703,4500,-107.68703,0.0593,0.00263,0.00128,-0.001
88.69379,101.15661,4600,101.15661,0.06813,0.00354,-0.00146,-9.43E-04
90.39389,33.37638,4700,33.37638,0.07402,-2.80E-04,-6.06E-04,0.00172
92.09656,-143.64901,4800,-143.64901,0.0785,0.00232,0.00199,1.28E-04
93.79461,43.24344,4900,43.24344,0.08769,0.0037,-3.50E-04,-0.00168
95.49662,14.48931,5000,14.48931,0.09178,0.00162,-0.00137,-3.72E-04
97.199,45.77705,5100,45.77705,0.0975,9.57E-04,-0.00109,5.95E-05
98.90128,36.43059,5200,36.43059,0.09931,-5.65E-04,-0.00125,1.63E-04
100.60348,11.60171,5300,11.60171,0.10038,-0.00155,-7.69E-04,6.42E-04
102.3061,-14.3751,5400,-14.3751,0.1004,-0.0021,3.33E-05,5.33E-04
104.01058,-43.86114,5500,-43.86114,0.09944,-0.00148,2.97E-04,-2.42E-05
105.71266,14.65175,5600,14.65175,0.10127,-0.00151,-1.52E-05,-1.56E-04
107.41587,-10.40837,5700,-10.40837,0.1014,-0.00151,-1.52E-05,-1.56E-04
