temp,cp,time,Norm,RAWCP,First,Second,Third,CPPEAK1
10.99724,,100,-1.04464,-1.04464,,,,
12.659,,200,-20769.8185,-0.37701,,,,
14.3597,-73.15041,300,-73.15041,-0.32694,-0.00189,0.00124,1.234E-5,1.40673
16.05927,-192.08592,400,-192.08592,-0.32985,-0.00189,0.00124,1.234E-5,2.0541
17.76049,-91.44089,500,-91.44089,-0.33159,5.81432E-4,0.00126,-6.34644E-4,2.98682
19.46065,-16.32195,600,-16.32195,-0.33033,6.30792E-4,-3.29566E-5,-6.69743E-4,4.32246
21.16119,17.85403,700,17.85403,-0.32644,5.15519E-4,-7.84758E-5,1.05647E-4,6.22789
22.86064,21.44336,800,21.44336,-0.3203,4.7384E-4,1.78338E-4,2.47252E-4,8.93119
24.56037,5.77945,900,5.77945,-0.31155,8.72195E-4,4.16027E-4,-7.7243E-5,12.75138
26.26076,19.87133,1000,19.87133,-0.29773,0.00131,2.3852E-5,-2.3303E-4,18.12582
27.95959,28.97297,1100,28.97297,-0.28224,9.19899E-4,-5.00329E-5,2.07636E-4,25.63844
29.6593,-13.79712,1200,-13.79712,-0.27058,0.00121,4.39123E-4,1.76232E-4,36.09829
31.35672,19.07656,1300,19.07656,-0.25632,0.0018,3.02432E-4,-1.87671E-4,50.54768
33.05679,39.27366,1400,39.27366,-0.23944,0.00181,6.37804E-5,-8.78306E-5,70.43719
34.75527,75.86539,1500,75.86539,-0.22005,0.00193,1.2677E-4,6.04167E-5,97.5444
36.45471,113.2962,1600,113.2962,-0.19899,0.00206,1.84614E-4,-4.18943E-5,134.21528
38.15448,169.84115,1700,169.84115,-0.17648,0.00229,4.29818E-5,-1.08298E-4,183.28095
39.85382,237.29043,1800,237.29043,-0.15332,0.00215,-3.19817E-5,1.99119E-4,248.03493
41.55286,282.36345,1900,282.36345,-0.13001,0.00223,4.4122E-4,3.80661E-4,332.08083
43.25071,363.06316,2000,363.06316,-0.10695,0.00303,7.29341E-4,7.89258E-6,438.80819
44.95103,500.57208,2100,500.57208,-0.08583,0.00369,4.57005E-4,-1.70054E-4,570.99255
46.6488,657.66594,2200,657.66594,-0.06717,0.00395,3.89234E-4,-2.46346E-5,728.57684
48.34878,827.361,2300,827.361,-0.05093,0.00447,4.07736E-4,-1.92224E-4,908.54386
50.04796,1045.57535,2400,1045.57535,-0.03561,0.00476,4.7858E-6,-4.07069E-4,1101.76867
51.74783,1251.232,2500,1251.232,-0.02145,0.00448,-4.06401E-4,-4.06091E-4,1293.3675
53.44735,1441.51444,2600,1441.51444,-0.00872,0.00395,-8.07395E-4,-4.15307E-4,1462.93219
55.14564,1592.26743,2700,1592.26743,0.00248,0.00286,-0.00124,-3.58335E-4,1588.35927
56.84588,1665.94997,2800,1665.94997,0.01192,0.00148,-0.00152,-7.33355E-5,1651.46308
58.54386,1666.79515,2900,1666.79515,0.01961,-1.85233E-4,-0.00138,2.98143E-4,1642.9082
60.24423,1560.34519,3000,1560.34519,0.02437,-0.00129,-9.27781E-4,2.96412E-4,1565.51844
61.94074,1441.94849,3100,1441.94849,0.02918,-0.00204,-7.90861E-4,3.43576E-4,1433.31132
63.63984,1255.56596,3200,1255.56596,0.03231,-0.00287,-2.40629E-4,5.41405E-4,1265.74613
65.33925,1047.70198,3300,1047.70198,0.0347,-0.00252,2.91948E-4,4.01127E-5,1083.57708
67.03831,902.31292,3400,902.31292,0.03775,-0.00229,-1.60404E-4,-6.29598E-5,903.98103
68.73991,722.07034,3500,722.07034,0.04058,-0.00284,1.66029E-4,2.38388E-4,738.34638
70.43917,517.69557,3600,517.69557,0.04245,-0.00196,3.16371E-4,-1.1759E-4,593.43059
72.14047,436.76778,3700,436.76778,0.0458,-0.00221,-6.91524E-5,5.33116E-4,470.9066
73.83931,206.25422,3800,206.25422,0.0478,-0.0021,0.00138,4.36384E-4,370.35992
75.54029,139.39098,3900,139.39098,0.05248,5.55087E-4,8.03616E-4,-0.00119,289.26309
77.24017,202.32495,4000,202.32495,0.05772,-4.88923E-4,-9.99745E-4,-2.05945E-4,224.92898
78.93998,21.66048,4100,21.66048,0.05938,-0.00144,3.91727E-4,0.00119,174.39008
80.64064,-19.63691,4200,-19.63691,0.06511,2.94531E-4,0.00138,-1.9767E-4,134.96041
82.34046,-7.61731,4300,-7.61731,0.07129,0.00132,-3.61319E-6,-0.00121,104.38231
84.04182,66.57514,4400,66.57514,0.07556,2.87305E-4,-0.00104,2.59463E-4,80.71317
85.74213,-31.94098,4500,-31.94098,0.08049,-7.46645E-4,5.15312E-4,9.54492E-4,62.4552
87.44317,-68.55014,4600,-68.55014,0.08645,0.00132,8.73669E-4,-6.24065E-4,48.36852
89.14339,62.06206,4700,62.06206,0.09166,0.001,-7.32818E-4,-6.58049E-4,37.51131
90.84432,-5.92378,4800,-5.92378,0.09573,-1.47706E-4,-4.42429E-4,3.86957E-4,29.13176
92.54723,4.26117,4900,4.26117,0.10099,1.15834E-4,4.10968E-5,5.34156E-4,22.65526
94.24632,-27.93299,5000,-27.93299,0.10426,-6.55128E-5,6.25883E-4,-3.58775E-6,17.66005
95.94869,-30.61391,5100,-30.61391,0.10678,0.00137,3.39213E-5,-0.00103,13.78544
97.64886,103.95276,5200,103.95276,0.11304,2.32978E-6,-0.00143,1.94012E-4,10.78519
99.35156,-36.82668,5300,-36.82668,0.11231,-0.00149,4.21945E-4,0.00123,8.45151
101.05422,-53.16166,5400,-53.16166,0.11308,8.4622E-4,0.00103,-2.78247E-4,6.63607
102.75617,74.42655,5500,74.42655,0.11813,5.77122E-4,-1.34549E-4,-5.82932E-4,5.22161
104.4599,40.80318,5600,40.80318,0.11809,5.77122E-4,-1.34549E-4,-5.82932E-4,4.1159
106.16148,--,5700,--,0.11829,,,,3.25183
107.86533,--,5800,--,0.12153,,,,2.57349
